DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
Datademo,Three pioneers in the Finnish Open Data scene. Open Knowledg Finland. The Finnish Independency Fund SITRA and Helsinki Region Infoshare (HRI) launched new funding instrument. Datademo on Friday 7th February. They are set out to search for ideas that make use of open data in order to promote democracy and are offering developers micro funding of 2000 euros each.“Datademo is a participatory process. alike participatory budgeting. The applicants themselves take part in evaluating and deciding who will be receiving funding. On the contrary to traditional. Datademo brings out open and agile method to develop public IT systems” says Joonas Pekkanen. project manager for Open Knowledge Finland (OKFFI).OKFFI is responsible for organizing Datademo. whereas SITRA and HRI are the funders. Total amount of funding available in Datademo during the year will be 48 000 euros.The proposals for Datademo are required to use either specifically open data from Helsinki region or genrally from Finland. Another requirement is that they need to promote citizens’ possibilities to obtain information or to participate. Existing commercial products are ruled out from Datademo. but the applications may evolve to one in the future.“It’s great that HRI and SITRA see the big potential even in small ideas and want to enable open and agile chance to make them happen. Public administration has opened data on increasing pace. but it is more than often when developing applications is up to individuals and even the small expenses are left for the volunteers to pay for” notes Mr. Pekkanen.A sign of novel approach is also that the funding is paid in advance. Completing the job and reporting the results is left to happen on the basis of peer pressure. The organizers are hoping for that this arrangement reduces the risk for the developers to take action. as usually the market for democracy related applications is rather modest compared to eg. what mobile games might make in the app market.,open-networks,participation-and-democracy open-data apps participatory-budgeting social-innovations,http://data.digitalsocial.eu/id/activity/7b4f000e-a725-c02e-01b3-48832800fe77,1,,1,,1,
Apps4Finland,The annual competition for apps. visualisations and other works (even hardware) running since 2009. The best works utilizing open data are awarded in the end of every year.,open-networks,participation-and-democracy education-and-skills culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/9fd59df4-7edd-eceb-cdb7-a320013258f6,1
UK online centres network,Tinder Foundation manages the national network of UK online centres. which exist in 5.000 communities throughout the UK. supporting people to improve their computer and internet skills and to become confident internet users. UK online centres are key to combating digital exclusion. and the grassroots support they provide has a huge impact on both individuals and communities.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/93992225-eb55-3ef0-736e-d4ada40a2c52,,,,,1,
Neighbourhood Planner,Neighbourhood Planner allows users to view and update information on the progress of neighbourhood planning activity across England. Members of local communities and professionals involved in local planning and development can add and modify their own neighbourhood planning data on a map of England. ,open-networks,participation-and-democracy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/e61036d4-b364-5e71-ec55-b7aa28c57a04,1,,,,1,
Online mentoring forum,We run an online forum. staffed by trained volunteers. to provide support and advice to people suffering from the effects of bullying.,open-data,health-and-wellbeing,http://data.digitalsocial.eu/id/activity/4376d9c8-129c-8f69-d521-76494d8bd045,1,,,,1,
Community Currencies in Action,The Community Currencies in Action project (CCIA) is a transnational partnership working to develop and deliver community currency demonstrations across North West Europe. CCIA will lead the way in sharing knowledge and best practice to enable communities to build exchange networks that are socially just. and economically and environmentally sustainable.,open-networks,participation-and-democracy finance-and-economy public-finances community-projects,http://data.digitalsocial.eu/id/activity/fbdbd3a2-0544-8afa-a6d7-657237a26a6b,,,,1,,
Microcontrollers and open source community,Arduino is a single-board open source microcontroller. intended to make the application of interactive objects or environments more accessible.,open-knowledge,education-and-skills technology open-source,http://data.digitalsocial.eu/id/activity/aef93c8d-876f-fac1-93a2-7afa26e7bebd,,1,,,,
Access Space,Supporting a peer-learning community based in and around a real-world technology facility. which provides a media-lab and fab-lab and exhibition space. The organisation makes use of free & open source software both as a platform for innovation & enterprise. and to facilitate reuse and repurposing of redundant equipment donated by local enterprises. Highly sustainable. the lab has been running full time for more than 14 years. and has served as a model for similar organisations internationally. The space combines elements of hackspace & maker space. co-working environment. enterprise incubator. learning lab and social space. This holistic approach develops collective intelligence by including diverse participants.,open-knowledge,work-and-employment health-and-wellbeing education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/29d60989-1480-6b62-ab3f-9804270e9411,,,,,1,
Crowdsourced futures,Futurescaper creates online scenario planning tools and participatory foresight systems. Futurescaper uses social mind-mapping and crowdsourcing to create real-time. dynamic systems maps of foresight trends. drivers or scan hits. Futurescaper is not big data; it starts with stakeholders’ awareness and perspectives. and represents an emergent picture of their mental models. This helps them converge on the most important issues and highlight areas of conflict and uncertainty. The result is more useful both analytically and socially. leveraging the collective intelligence of stakeholders before. during and after the foresight process. ,open-networks,participation-and-democracy,http://data.digitalsocial.eu/id/activity/fa9b3abc-a2ac-5f7c-ecda-d1b42a12adff,1
Post-car(d) Urbanism,Post-Car(d) Urbanism explores the Future of Urbanism and Transport: What will our cities look like in the future. especially if we change the way we get around? Many people are asking - what about the car-free city? Is it possible? How might it happen? And what other alternative outcomes might the future hold? ,open-knowledge,participation-and-democracy energy-and-environment,http://data.digitalsocial.eu/id/activity/4abd4abd-0a48-496d-63e9-15fc09354e39,1
Incubation and acceleration of social business start-ups,,open-knowledge,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment corporate-citizenship-and-responsible-consumption women-empowerment,http://data.digitalsocial.eu/id/activity/81165a75-df09-bead-2268-c0d898ddf4ae,,,,,,1
Distributed Social Network,Community building. networking the networks and collaboration for impact,open-knowledge,community innovation collaboration co-working art social-impact p2p,http://data.digitalsocial.eu/id/activity/725f2635-aea3-6db5-463e-47e846ea8b6b,,,,,1,
Hyperlocal citizen participation and transparency,Frankfurt Gestalten is a hyperlocal portal. which allows citizens to bring ideas how to change their city and network to make this change happen. It also includes various data sources to make local politics more transparent and get citizens easier engaged. ,open-networks,participation-and-democracy transparency,http://data.digitalsocial.eu/id/activity/8d2fc763-2d98-8eea-ca6d-f855f88a999a,1
"Development of the ""FreedomBox"" personal server",Project Danube is an open code and advocacy project in the field of identity and personal data services on the Internet. It reflects ongoing discourse about political and social questions about anonymity vs. veronymity. centralization vs. decentralization. and the appropriate handling of personal data online. We are helping to promote the FreedomBox in Austria. Europe. and around the world. ,open-data,internet-privacy decentralized-networks personal-servers p2p-infrastructure,http://data.digitalsocial.eu/id/activity/c6210a01-ae21-5785-787e-499faf2e1084,,,,,1,
Lords of the Blog,Regular blog posts by members of the UK House of Lords. providing first-hand accounts and unique insights into the workings Parliament's upper chamber. An invaluable resource where citizens can comment and connect directly with Peers. Lords of the Blog aims to open up this historic institution by bringing it closer to the public.,open-networks,participation-and-democracy education law democracy government politics policy legislation parliament,http://data.digitalsocial.eu/id/activity/48378063-f7fb-4c28-c4a0-8239669bc191,1
Promoting qualitative projects from Sharing Economy,Alveolus aims at presenting the best projects of the Sharing Economy. It is made of three components : a platform. a blog and (soon) a video channel. On the plateform. you can discover the most relevant projects. propose new ones and vote for submitted projects you like. On the blog. we try to explore some projects with an in-depth approach. And. on the channel. we will present short videos where we test the different services. ,open-knowledge,participation-and-democracy education-and-skills finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/d331214d-b8c9-c5f3-85cc-1ffa1578b189,,,,1,,
Social Innovation Week,,open-networks,neighbourhood-regeneration smart-city,http://data.digitalsocial.eu/id/activity/44dea8a5-7afb-6bc4-e686-d58f21bb30f9,,,1,,1,
Supporting transition towards an ecologic. healthy. participatory. social equitable. social entrepreneurial city. Antwerp.,,open-knowledge,work-and-employment health-and-wellbeing participation-and-democracy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/d5b41c56-fa92-fc5a-2117-3983c64462fe,1,,1,,,
 ngo database,,open-networks,participation-and-democracy,http://data.digitalsocial.eu/id/activity/7c676bf2-6d75-65e2-3e94-76f98240a363,,,,,1,
tes,,open-knowledge,education-and-skills,http://data.digitalsocial.eu/id/activity/9772d8ec-5dbc-c8a8-652e-13533c685053,,,,1,,
Improving The Maule's competitiveness ,,open-networks,science energy-and-environment,http://data.digitalsocial.eu/id/activity/a055ce01-208b-cb53-087f-a3f13056eeb8,
impact analysis,,open-networks,participation-and-democracy,http://data.digitalsocial.eu/id/activity/86552739-6139-38f1-9253-f78264295a7e,,,,,,1
Digital Age Project,The Digital Age Project is funded by the Big Lottery for a period of 4 years to bring a digital learning programme to isolated older people living in sheltered housing.,open-knowledge,digital-inclusion older-people,http://data.digitalsocial.eu/id/activity/6c883a0d-0aae-b7de-f753-8ab2c9dc3dd7,1,,,,1,
Social Impact. Innovation & Investment,Cruinn Associates is an independent professional services provider.  We are a circle of innovators. researchers. designers. evaluators and doers.We believe that business is more than profit. We work with individuals and organisations to foster their social innovation. investment and impact. We do this primarily across the UK & Ireland in diverse sectors and fields. Our mission is to support you in sustaining and growing your work. profitably with purpose.,open-knowledge,health-and-wellbeing education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/1cde7e52-2afb-3858-89cc-35427b0ed560,,,,,,1
Web portal that centralizes in one place products. services and events that help causes,www.comprasolidaria.pt has a pionner concept in Portugal: it's  the  first  web portal  that  aggregates  in  one  place  those products that help to raise money for a cause - the initial research showed that there are hundreds of products of this kind in Portugal. but there was no place were we could find them. if we wanted we needed to search numerous websites and news articles. without knowing where. or if. the information would be there.So. then came comprasolidaria.pt. and suddenly. and in a very pratical way. you can find in one place products that help numerous causes. with a search function that allows you to find them by category. by price. by cause of even by your favorite NGO.Besides the products  it also has a section in which you can find events that help causes. also something that didn't yet exist in a centralized way.Aditionally. usually people only talk about this  kind of initiatives during christmas time. but comprasolidaria.pt isn't just for christmas: it aims to make a difference all throughout the year.www.comprasolidaria.pt empowers and helps NGOs to achieve their goals: it helps in raising awareness. giving them more visibility and boosting their revenue sources.By simplifying the choice and creating direct connections between donors and NGOs mediated through the internet. this project aims to contribute to a a new era of socially conscious shopping. putting consumers one click away from numerous ways to help causes.Since it was launched in November 2012. it has helped more than 150 causes - all this has been done with zero funding so far.,open-data,work-and-employment health-and-wellbeing education-and-skills culture-and-arts finance-and-economy energy-and-environment elde,http://data.digitalsocial.eu/id/activity/816410d8-191e-96fe-5090-0616d4fce4f9,,,,1,,
Code 4 Pizza,We get developers and designers to make cool things for public service value using open data and pizza.,open-networks,tech-for-social-good,http://data.digitalsocial.eu/id/activity/065a6fd9-3248-6b65-b0b0-f2237be139ba,,1,,,,
A Community Guide for Seniors Online in Northern Ireland,POP NI gathers information and news that could be of direct relevance to older people in the north of Ireland. their families and those who work with them.,open-data,health-and-wellbeing participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/73d81978-1b58-2bc2-94e7-703027ea68fe,,,,,1,
Making a positive social impact encouraging Manchetster residents to use digital tools ,The Manchester Advice Alliance  aims to encourage local residents to get online and utilise existing and emerging digital tools for a range of purposes.  We are also seeking to establish a network of digital supporters and innovators in the city ,open-knowledge,work-and-employment health-and-wellbeing neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/d199de25-203c-7938-7eeb-6dfc23caa985,1
Lobbying for the European public interest,Empowering European citizens through online activism and participatory mechanisms,open-data,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/dc74af58-f1bc-ff08-dd07-222e0bdf69de,1
